"Control"	"Disease"	"repeat_n"
"SRR9075199"	0.562562562562563	0.437437437437437	1
"SRR9037910"	0.366366366366366	0.633633633633634	1
"SRR9038178"	0.471471471471471	0.528528528528528	1
"SRR9075191"	0.459459459459459	0.540540540540541	1
"SRR9037912"	0.56956956956957	0.43043043043043	1
"SRR9098609"	0.492492492492492	0.507507507507508	1
"SRR9038094"	0.656656656656657	0.343343343343343	1
"SRR9075332"	0.555555555555556	0.444444444444444	1
"SRR9098822"	0.324324324324324	0.675675675675676	1
"SRR9098965"	0.614614614614615	0.385385385385385	1
"ERR1190645"	0.476476476476476	0.523523523523523	1
"ERR1190679"	0.517517517517518	0.482482482482482	1
"ERR1190641"	0.631631631631632	0.368368368368368	1
"ERR1190666"	0.344344344344344	0.655655655655656	1
"ERR1190673"	0.475475475475475	0.524524524524524	1
"ERR1190646"	0.337337337337337	0.662662662662663	1
"ERR1190654"	0.494494494494495	0.505505505505506	1
"ERR1190644"	0.533533533533533	0.466466466466466	1
"ERR1190639"	0.553553553553554	0.446446446446446	1
"ERR1190780"	0.479479479479479	0.520520520520521	1
"SRR8849286"	0.566566566566567	0.433433433433433	1
"SRR8849271"	0.494494494494495	0.505505505505506	1
"SRR8849264"	0.335335335335335	0.664664664664665	1
"SRR8849267"	0.382382382382382	0.617617617617618	1
"SRR10983011"	0.488488488488488	0.511511511511512	1
"SRR10983086"	0.41041041041041	0.58958958958959	1
"SRR10403550"	0.452452452452452	0.547547547547548	1
"SRR10403501"	0.425425425425425	0.574574574574575	1
"SRR10403515"	0.367367367367367	0.632632632632633	1
"SRR6066148"	0.342342342342342	0.657657657657658	1
"SRR6066097"	0.554554554554555	0.445445445445445	1
"SRR6066095"	0.578578578578579	0.421421421421421	1
"SRR6066175"	0.444444444444444	0.555555555555556	1
"SD320500098"	0.225225225225225	0.774774774774775	1
"SD320500320"	0.283283283283283	0.716716716716717	1
"SD320500214"	0.297297297297297	0.702702702702703	1
"SD320500330"	0.427427427427427	0.572572572572573	1
"SD320500295"	0.682682682682683	0.317317317317317	1
"SD320500248"	0.41041041041041	0.58958958958959	1
"SD320500363"	0.675675675675676	0.324324324324324	1
"SD320500161"	0.529529529529529	0.47047047047047	1
"SD320500301"	0.547547547547548	0.452452452452452	1
"SD320500341"	0.418418418418418	0.581581581581582	1
"SAMEA2737842"	0.510510510510511	0.48948948948949	1
"SAMEA2737786"	0.412412412412412	0.587587587587588	1
"SAMEA2737869"	0.375375375375375	0.624624624624625	1
"SAMEA2737860"	0.590590590590591	0.409409409409409	1
"SAMEA2737813"	0.56956956956957	0.43043043043043	1
"SAMEA2737819"	0.550550550550551	0.449449449449449	1
"ERR2855877"	0.615615615615616	0.384384384384384	1
"ERR2855816"	0.435435435435435	0.564564564564565	1
"ERR2855889"	0.315315315315315	0.684684684684685	1
"ERR2855802"	0.554554554554555	0.445445445445445	1
"ERR2855940"	0.417417417417417	0.582582582582583	1
"ERR2855936"	0.437437437437437	0.562562562562563	1
"ERR2855825"	0.339339339339339	0.660660660660661	1
"ERR2855886"	0.506506506506507	0.493493493493493	1
"ERR2855787"	0.488488488488488	0.511511511511512	1
"SRR8898639"	0.337337337337337	0.662662662662663	1
"SRR8898646"	0.594594594594595	0.405405405405405	1
"SRR8898603"	0.671671671671672	0.328328328328328	1
"SRR8898527"	0.601601601601602	0.398398398398398	1
"SRR8898598"	0.4994994994995	0.500500500500501	1
"SRR8898679"	0.575575575575576	0.424424424424424	1
"SRR8898521"	0.5995995995996	0.4004004004004	1
"SRR8898683"	0.336336336336336	0.663663663663664	1
"SRR8898638"	0.508508508508508	0.491491491491492	1
"SRR8898491"	0.244244244244244	0.755755755755756	1
"SRR413595"	0.482482482482482	0.517517517517518	1
"SRR413576"	0.451451451451451	0.548548548548549	1
"SRR341629"	0.532532532532533	0.467467467467467	1
"SRR341712"	0.525525525525526	0.474474474474474	1
"SRR341701"	0.292292292292292	0.707707707707708	1
"SRR413671"	0.529529529529529	0.47047047047047	1
"SRR413563"	0.558558558558559	0.441441441441441	1
"SRR413672"	0.500500500500501	0.4994994994995	1
"SRR341695"	0.469469469469469	0.530530530530531	1
"SRR341694"	0.265265265265265	0.734734734734735	1
"SRR413657"	0.469469469469469	0.530530530530531	1
"SRR413650"	0.672672672672673	0.327327327327327	1
"SRR413638"	0.383383383383383	0.616616616616617	1
"SRR413611"	0.594594594594595	0.405405405405405	1
"SRR413635"	0.367367367367367	0.632632632632633	1
"SRR413664"	0.621621621621622	0.378378378378378	1
"SRR5106312"	0.368368368368368	0.631631631631632	1
"SRR5106304"	0.401401401401401	0.598598598598599	1
"SRR5106423"	0.732732732732733	0.267267267267267	1
"SRR5106276"	0.695695695695696	0.304304304304304	1
"SRR5106314"	0.55955955955956	0.44044044044044	1
"SRR5106496"	0.715715715715716	0.284284284284284	1
"SRR5106298"	0.744744744744745	0.255255255255255	1
"SRR5106317"	0.755755755755756	0.244244244244244	1
"SRR5106282"	0.717717717717718	0.282282282282282	1
"ERR2017472"	0.353353353353353	0.646646646646647	1
"ERR2017568"	0.628628628628629	0.371371371371371	1
"ERR2017565"	0.362362362362362	0.637637637637638	1
"ERR2017550"	0.500500500500501	0.4994994994995	1
"ERR2017484"	0.584584584584585	0.415415415415415	1
"ERR2017551"	0.510510510510511	0.48948948948949	1
"ERR2017434"	0.485485485485485	0.514514514514514	1
"ERR2017578"	0.637637637637638	0.362362362362362	1
"ERR2017471"	0.605605605605606	0.394394394394394	1
"ERR2017465"	0.419419419419419	0.580580580580581	1
"ERR2017559"	0.533533533533533	0.466466466466466	1
